published_at,topic,hook,pillar,objective,permalink,reach,engagement_rate
2026-05-05 02:51,Bạn đã bao giờ thử mix-match các local brand yêu thích để tạo nên một outfit 'viral' chưa ?,"Bạn đã bao giờ thử mix-match các local brand yêu thích để tạo nên một outfit 'viral' chưa?   Hôm nay, chúng mình cùng bắt tay vào xây dựng bộ outfit c",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128397907074969,0,0.0
2026-05-05 02:04,Bạn đã bao giờ thử mix & match các item từ những local brand khác nhau để tạo nên một outfit 'viral' chưa ?,"Bạn đã bao giờ thử mix & match các item từ những local brand khác nhau để tạo nên một outfit 'viral' chưa?  Hôm nay, mình cùng 'lên đồ' với 3 item cực",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128396017074969,0,0.0
2026-05-05 01:57,Bạn đang tìm kiếm phong cách riêng nhưng ngại di chuyển nhiều nơi ? Chào mừng bạn đến với thiên đường thời trang tại Par,"Bạn đang tìm kiếm phong cách riêng nhưng ngại di chuyển nhiều nơi? Chào mừng bạn đến với thiên đường thời trang tại Park Mall!   Tại đây, chúng tôi qu",showroom_promo,conversion,https://www.facebook.com/122131079613074969/posts/122128395687074969,0,0.0
2026-05-05 01:54,"Bạn đã bao giờ thử mix-match các thương hiệu local với nhau để tạo ra một outfit 'chất lừ' chưa ? Hôm nay, mình sẽ gợi ý","Bạn đã bao giờ thử mix-match các thương hiệu local với nhau để tạo ra một outfit 'chất lừ' chưa? Hôm nay, mình sẽ gợi ý cách phối đồ để nâng tầm phong",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128395489074969,0,0.0
2026-05-05 01:43,Bạn đã bao giờ tự hỏi liệu sản phẩm trên hình có thực sự giống khi cầm tận tay ? 🤔,"Bạn đã bao giờ tự hỏi liệu sản phẩm trên hình có thực sự giống khi cầm tận tay? 🤔  Tại GENZS, chúng mình luôn đảm bảo sự minh bạch về chất lượng: ✨ Cậ",showroom_promo,conversion,https://www.facebook.com/122131079613074969/posts/122128395015074969,0,0.0
2026-05-05 01:19,Bạn đã bao giờ tự hỏi liệu chiếc áo mình yêu thích trên ảnh có giống hệt khi cầm trên tay ?,"Bạn đã bao giờ tự hỏi liệu chiếc áo mình yêu thích trên ảnh có giống hệt khi cầm trên tay?   Tại GENZS, chúng mình luôn khuyến khích bạn ghé thăm show",showroom_promo,conversion,https://www.facebook.com/122131079613074969/posts/122128393053074969,0,0.0
2026-05-05 01:17,"Bạn đã bao giờ thử mix đồ từ 3 local brand khác nhau để tạo nên một outfit viral chưa ? Hôm nay, tụi mình sẽ cùng bạn 'b","Bạn đã bao giờ thử mix đồ từ 3 local brand khác nhau để tạo nên một outfit viral chưa? Hôm nay, tụi mình sẽ cùng bạn 'bóc tách' công thức phối đồ chuẩ",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128392885074969,0,0.0
2026-05-05 01:13,Bạn đang tìm kiếm phong cách riêng mà không muốn đi nhiều nơi ? Ghé ngay showroom của chúng tôi để trải nghiệm thế giới ,Bạn đang tìm kiếm phong cách riêng mà không muốn đi nhiều nơi? Ghé ngay showroom của chúng tôi để trải nghiệm thế giới thời trang đa dạng!  Từ streetw,showroom_promo,conversion,https://www.facebook.com/122131079613074969/posts/122128392249074969,0,0.0
2026-05-04 08:04,Bạn đang tìm kiếm sự đa dạng trong phong cách nhưng ngại di chuyển nhiều nơi ? Chào mừng bạn đến với showroom của chúng ,Bạn đang tìm kiếm sự đa dạng trong phong cách nhưng ngại di chuyển nhiều nơi? Chào mừng bạn đến với showroom của chúng tôi tại Park Mall - nơi hội tụ ,local_brand_promo,awareness,https://www.facebook.com/122131079613074969/posts/122128326393074969,0,0.0
2026-05-04 08:03,Bạn đang tìm kiếm sự đa dạng trong phong cách nhưng ngại di chuyển nhiều nơi ? Chào mừng bạn đến với showroom của chúng ,Bạn đang tìm kiếm sự đa dạng trong phong cách nhưng ngại di chuyển nhiều nơi? Chào mừng bạn đến với showroom của chúng tôi tại Park Mall - nơi hội tụ ,local_brand_promo,awareness,https://www.facebook.com/122131079613074969/posts/122128326009074969,0,0.0
2026-05-04 07:47,Bạn đang tìm kiếm sự đa dạng trong phong cách nhưng ngại di chuyển nhiều nơi ? Chào mừng bạn đến với showroom của chúng ,Bạn đang tìm kiếm sự đa dạng trong phong cách nhưng ngại di chuyển nhiều nơi? Chào mừng bạn đến với showroom của chúng tôi tại Park Mall - nơi hội tụ ,local_brand_promo,awareness,https://www.facebook.com/122131079613074969/posts/122128324947074969,0,0.0
2026-05-03 01:28,"Có bao giờ cậu đang hăng hái bắt tay vào một việc gì đó, xong tự nhiên lướt mạng, thấy người khác khoe thành quả rực rỡ ","Có bao giờ cậu đang hăng hái bắt tay vào một việc gì đó, xong tự nhiên lướt mạng, thấy người khác khoe thành quả rực rỡ cái mình xìu ngay không?  Mình",lifestyle,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128205277074969,0,0.0
2026-05-03 01:28,"Có bao giờ cậu đang hăng hái bắt tay vào một việc gì đó, xong tự nhiên lướt mạng, thấy người khác khoe thành quả rực rỡ ","Có bao giờ cậu đang hăng hái bắt tay vào một việc gì đó, xong tự nhiên lướt mạng, thấy người khác khoe thành quả rực rỡ cái mình xìu ngay không?  Mình",lifestyle,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128205283074969,0,0.0
2026-05-02 19:48,"Có bao giờ bạn thấy mình cứ quay cuồng như con thoi cả ngày, rồi tối về chỉ muốn lăn ra ngủ mà chẳng kịp tận hưởng gì kh","Có bao giờ bạn thấy mình cứ quay cuồng như con thoi cả ngày, rồi tối về chỉ muốn lăn ra ngủ mà chẳng kịp tận hưởng gì không?  Mình từng có một giai đo",lifestyle,engagement_ask,https://www.facebook.com/122131079613074969/posts/122128186485074969,0,0.0
2026-04-24 04:57,"l?n d?u ti�n sau m?y th�ng tr?i c?m m?t v�o c�i d?ng deadline, s�ng nay tao quy?t d?nh b? h?t d? d?y s?m ra c�i qu�n que","l?n d?u ti�n sau m?y th�ng tr?i c?m m?t v�o c�i d?ng deadline, s�ng nay tao quy?t d?nh b? h?t d? d?y s?m ra c�i qu�n quen d?u ng� l�m c?c c� ph� d�",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122127324417074969,0,0.0
2026-04-24 04:56,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ ! 🔥,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ! 🔥 #thoitrang #genz,short_tip,awareness,https://www.facebook.com/122131079613074969/posts/122127324297074969,0,0.0
2026-04-24 04:55,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ ! 🔥,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ! 🔥 #thoitrang #genz,short_tip,awareness,https://www.facebook.com/122131079613074969/posts/122127324195074969,0,0.0
2026-04-24 04:49,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ ! 🔥,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ! 🔥 #thoitrang #genz,short_tip,awareness,https://www.facebook.com/122131079613074969/posts/122127323703074969,0,0.0
2026-04-24 04:22,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ ! 🔥,Mẹo phối đồ Gen Z cực chất cho cuối tuần rực rỡ! 🔥 #thoitrang #genz,short_tip,awareness,https://www.facebook.com/122131079613074969/posts/122127322275074969,0,0.0
2026-04-19 11:01,"Sự trỗi dậy của những đốm báo ! 🐆✨ Hè 2026 này, phong cách cá tính với Blazer họa tiết da báo chính là chân ái cho những","Sự trỗi dậy của những đốm báo! 🐆✨ Hè 2026 này, phong cách cá tính với Blazer họa tiết da báo chính là chân ái cho những cô nàng muốn khẳng định bản th",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122126850447074969,0,0.0
2026-04-19 10:57,"Mấy bà ơi, chân váy tennis xếp ly là 'must-have' item cho mùa hè này nha ! 🎀 Sơ vin cùng áo thun hay sơ mi đều cực kì tô","Mấy bà ơi, chân váy tennis xếp ly là 'must-have' item cho mùa hè này nha! 🎀 Sơ vin cùng áo thun hay sơ mi đều cực kì tôn dáng và trẻ trung",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122126850171074969,0,0.0
2026-04-19 10:40,"Mấy bà ơi, chân váy tennis xếp ly là 'must-have' item cho mùa hè này nha ! 🎀 Sơ vin cùng áo thun hay sơ mi đều cực kì tô","Mấy bà ơi, chân váy tennis xếp ly là 'must-have' item cho mùa hè này nha! 🎀 Sơ vin cùng áo thun hay sơ mi đều cực kì tôn dáng và trẻ trung",outfit_guide,engagement_ask,https://www.facebook.com/122131079613074969/posts/122126849211074969,0,0.0
2025-10-27 10:53,Phối outfit với áo khoác trông xinh hơn,Phối outfit với áo khoác trông xinh hơn #xuhuongfb #aokhoacnu,short_tip,awareness,https://www.facebook.com/122131079613074969/posts/122103891645074969,0,0.0
